index,verdict,raw
1,gold,B
2,gold,B
3,gold,A
4,gold,B
5,gold,B
6,gold,B
7,gold,B
8,alt,A
9,gold,A
10,gold,B
11,alt,A
12,alt,A
13,gold,B
14,gold,B
15,gold,B
16,gold,B
17,gold,A
18,gold,B
19,gold,A
20,gold,A
21,gold,B
22,gold,B
23,gold,A
24,gold,A
25,gold,A
26,alt,A
27,gold,B
28,gold,A
29,gold,B
30,gold,B
31,gold,A
32,gold,B
33,gold,A
34,gold,A
35,alt,B
36,gold,B
37,gold,A
38,gold,B
39,gold,A
40,alt,A
41,alt,B
42,gold,A
43,gold,B
44,alt,A
45,alt,A
46,gold,B
47,gold,A
48,gold,B
49,alt,A
50,gold,B
51,alt,B
52,gold,A
53,gold,A
54,alt,B
55,alt,A
56,gold,A
57,gold,A
58,gold,B
59,gold,A
60,gold,B
61,gold,B
62,gold,B
63,gold,B
64,gold,A
65,gold,A
66,gold,A
67,gold,B
68,alt,B
69,gold,B
70,alt,A
71,alt,A
72,alt,B
73,gold,A
74,gold,A
75,gold,B
76,gold,B
77,gold,A
78,gold,B
79,gold,A
80,gold,A
81,gold,A
82,gold,B
83,gold,A
84,gold,B
85,gold,B
86,gold,A
87,gold,A
88,gold,A
89,gold,A
90,gold,B
91,gold,B
92,alt,B
93,gold,B
94,gold,B
95,gold,B
96,gold,B
97,gold,B
98,gold,A
99,gold,B
100,gold,A
